# A b Om H0
1.441957465337709632e+00 2.637697506351334553e+01 1.265840692096099063e-01 7.005698521711742899e+01
1.444405137453564025e+00 2.630525309447377680e+01 1.245661501914019226e-01 7.002323728761875543e+01
1.562402377195020842e+00 2.681743391916962693e+01 1.236905421212955158e-01 6.994170746424781271e+01
1.581600764351938082e+00 2.654322138396838326e+01 1.242838507701904543e-01 6.988840335596734121e+01
1.605990519341266909e+00 2.620865041264994133e+01 1.274526616364322351e-01 6.967449401189328739e+01
1.459631556683075759e+00 2.620485909124487378e+01 1.235881095257260198e-01 7.011251901122642494e+01
1.598161787329375860e+00 2.629341283296496101e+01 1.233861881230287338e-01 6.977330132406116547e+01
1.637346901340338112e+00 2.624774003891968377e+01 1.232708846566959032e-01 6.968945278870307902e+01
1.578868618701456894e+00 2.647676629632644918e+01 1.261057970075083468e-01 6.983778871630509855e+01
1.627335296541528420e+00 2.617171354507561887e+01 1.224265111394352151e-01 6.982175768198406729e+01
1.510772078985848310e+00 2.618841349056629042e+01 1.248320022083500153e-01 6.997777051717494601e+01
1.369509838080725572e+00 2.630892618463834864e+01 1.279609690604385785e-01 7.016391760887795215e+01
1.416109127894331188e+00 2.628278689148782021e+01 1.272543086542184398e-01 7.021641748878474232e+01
1.561317133890659292e+00 2.664790176602465976e+01 1.234151914256487181e-01 7.007452046564016257e+01
1.566743116429313076e+00 2.637549115332704730e+01 1.268854988466508182e-01 7.004438471337904559e+01
1.434774143805555902e+00 2.620000199477966163e+01 1.230352761775492382e-01 7.024623309414369032e+01
1.593872875476066930e+00 2.601875375763513532e+01 1.244160533173048616e-01 6.970376198666571099e+01
1.530086702174653812e+00 2.618150013889611927e+01 1.215146374500015308e-01 7.013654939108468511e+01
1.516722221988762165e+00 2.609814382006385003e+01 1.250571083595421185e-01 6.995349094907888343e+01
1.624581753420804908e+00 2.638193501434906807e+01 1.258811747351958610e-01 6.963023889918770237e+01
1.379784527565966590e+00 2.654733752461678620e+01 1.281670346128342963e-01 7.012855447180093904e+01
1.420995191288181969e+00 2.629540040475184526e+01 1.243646275914760818e-01 7.007290607324920018e+01
1.562402377195020842e+00 2.681743391916962693e+01 1.236905421212955158e-01 6.994170746424781271e+01
1.580789111371586841e+00 2.654741018755768422e+01 1.242490912163101424e-01 6.989585086429424621e+01
1.605990519341266909e+00 2.620865041264994133e+01 1.274526616364322351e-01 6.967449401189328739e+01
1.459631556683075759e+00 2.620485909124487378e+01 1.235881095257260198e-01 7.011251901122642494e+01
1.553200089207995793e+00 2.629391724296477761e+01 1.236344984760714971e-01 6.984933562505091231e+01
1.638616114979960070e+00 2.628091702706877442e+01 1.222521351741887030e-01 6.974696287127696337e+01
1.604913335075622838e+00 2.650668661466883336e+01 1.263930414434020488e-01 6.979900090396336054e+01
1.627335296541528420e+00 2.617171354507561887e+01 1.224265111394352151e-01 6.982175768198406729e+01
1.507623676346788510e+00 2.623617793399189324e+01 1.247128916592195602e-01 6.999061757920881632e+01
1.369509838080725572e+00 2.630892618463834864e+01 1.279609690604385785e-01 7.016391760887795215e+01
